collectedAt,content_data_employeeCount,content_entityName,recordType,schemaVersion,source_name,source_url
2026-08-11T16:20:57.710820,2,Dataglade,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/dataglade
2026-08-11T16:20:57.710825,40,Salient,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/salient
2026-08-11T16:20:57.710835,50,Latent,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/latent
2026-08-11T16:20:57.710841,3,Coldreach,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/coldreach
2026-08-11T16:20:57.710846,6,Ohm,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/ohm-2
2026-08-11T16:20:57.710852,4,Decohere,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/decohere
2026-08-11T16:20:57.710857,2,TableFlow,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/tableflow
2026-08-11T16:20:57.710862,20,SuperKalam,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/superkalam
2026-08-11T16:20:57.710868,1,coil inc.,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/coil-inc
2026-08-11T16:20:57.710873,120,Pylon,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/pylon-2
2026-08-11T16:20:57.710878,7,Chima,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/chima
2026-08-11T16:20:57.710883,5,Type,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/type
2026-08-11T16:20:57.710888,3,infra.new,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/infranew
2026-08-11T16:20:57.710894,30,Truewind,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/truewind
2026-08-11T16:20:57.710899,10,LiteLLM,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/litellm
2026-08-11T16:20:57.710904,3,Designbase,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/designbase
2026-08-11T16:20:57.710909,15,CombineHealth,STARTUP,1.0,Y Combinator,https://www.ycombinator.com/companies/combinehealth
